id,room_id,guest_id,check_in,check_out
1,6,10,2018-06-03,2018-06-12
2,7,1,2018-03-29,2018-04-04
3,17,8,2017-08-12,2017-08-26
4,1,19,2018-04-08,2018-04-18
5,11,16,2018-05-25,2018-05-28
6,4,17,2017-12-09,2017-12-18
7,14,7,2018-06-25,2018-07-06
8,5,7,2017-08-18,2017-08-31
9,7,13,2018-01-14,2018-01-25
10,13,6,2018-01-09,2018-01-10
11,5,1,2018-07-17,2018-07-21
12,5,2,2017-08-27,2017-09-03
13,8,14,2018-01-09,2018-01-11
14,9,13,2017-11-03,2017-11-06
15,4,19,2018-05-25,2018-05-27
16,11,10,2018-07-29,2018-08-10
17,2,4,2018-06-08,2018-06-09
18,10,20,2017-12-23,2017-12-30
19,17,16,2018-06-02,2018-06-08
20,6,3,2017-12-15,2017-12-16
21,18,1,2018-01-24,2018-01-27
22,17,10,2017-08-18,2017-08-28
23,3,5,2018-01-10,2018-01-21
24,7,1,2018-04-25,2018-05-06
25,11,9,2017-10-26,2017-11-07
26,1,6,2018-04-20,2018-04-27
27,11,19,2018-04-05,2018-04-09
28,15,2,2018-04-22,2018-04-28
29,18,15,2018-02-13,2018-02-19
30,2,11,2017-11-19,2017-11-30
31,2,4,2018-01-03,2018-01-09
32,6,17,2018-02-06,2018-02-17
33,18,13,2018-01-18,2018-01-23
34,9,1,2018-05-03,2018-05-10
35,13,10,2017-08-14,2017-08-15
36,4,19,2018-03-28,2018-04-02
37,18,8,2018-03-17,2018-03-22
38,12,19,2018-02-18,2018-03-03
39,10,7,2017-09-30,2017-10-10
40,9,9,2018-07-04,2018-07-06
